date,ticker,regime_combo,rs_bin,trend_state,policy_action,rolling_sharpe,rolling_cagr,fwd_5d,fwd_10d
2022-01-18 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,0.6817618432102398,0.15584291777928083,,
2022-01-21 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,0.7310257808940095,0.15584291777928083,,
2022-01-25 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,1.026416065887538,0.2536036304403122,,
2022-01-27 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,1.2472531669233715,0.33600234677316854,,
2022-02-03 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,0.9765288742179273,0.24619951549714725,,
2022-02-04 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,0.12390875323830601,0.0,,
2022-02-08 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.7625099947426079,-0.1991154550867542,,
2022-02-09 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.6311568243063603,-0.35989358333452304,,
2022-02-14 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.6420608635060345,-0.19756027220001904,,
2022-02-17 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.0937358580165795,-0.3048948569196388,,
2022-02-24 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.861504277264091,-0.48345969995654103,,
2022-03-04 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.3809037761956748,-0.3990512165398189,,
2022-03-09 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.6069405174331572,-0.4455144144435722,,
2022-03-11 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.5766676306443559,-0.4044230974114118,,
2022-03-16 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-2.6628141071793734,-0.5636768932327122,,
2022-03-22 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.02335256803050132,-0.07256884961865961,,
2022-03-24 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.031310247061357016,-0.07256884961865961,,
2022-03-25 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.4528107302193919,-0.19756027220001904,,
2022-03-30 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.7082230392793455,-0.25723472518847235,,
2022-04-01 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.7378760673512169,-0.2552930093783391,,
2022-04-11 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.1342458302735863,-0.3186157930357527,,
2022-04-13 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.9265032248603424,-0.4572899701887537,,
2022-04-22 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-3.1697725736430353,-0.6742626657120447,,
2022-04-29 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.9231191930154092,-0.5351308958617176,,
2022-05-04 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-2.8997015915728466,-0.6315436060814256,,
2022-05-10 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-3.385037888436683,-0.7046309434320974,,
2022-05-18 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-2.6182713074566544,-0.633435124444435,,
2022-05-24 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-2.414431110025442,-0.6175082059629002,,
2022-05-31 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.911871847247844,-0.5455769877373559,,
2022-06-06 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-1.8681308598646178,-0.525415317054668,,
2022-06-14 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-3.6198680943837096,-0.744659986560106,,
2022-06-15 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-4.009967966258749,-0.7819570563555647,,
2022-06-16 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-5.118547591287791,-0.8369114805074167,,
2022-06-23 00:00:00+08:00,DCRU.SI,high|trend_off|dd_ok|vol_low,,off,de-risk,-2.72019103630109,-0.6841508681748982,,
