date,ticker,regime_combo,rs_bin,trend_state,policy_action,rolling_sharpe,rolling_cagr,fwd_5d,fwd_10d
1990-02-14 00:00:00-05:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,1.9439801609056142,4.03543834206183,,
1990-02-15 00:00:00-05:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,hold,0.7202348102253158,0.23548985843746628,,
1990-02-21 00:00:00-05:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,1.065928537840687,0.8520403909848171,,
1990-02-22 00:00:00-05:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,0.5831735425048463,0.038056418257253144,,
1990-02-26 00:00:00-05:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,0.056689322751459104,-0.3137371307610545,,
1990-02-27 00:00:00-05:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.8911177721654332,-0.7143479422654271,,
1990-03-02 00:00:00-05:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.7776587009593986,-0.6687619118921856,,
1990-03-06 00:00:00-05:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-2.6910658738956057,-0.8891017979800443,,
1990-03-12 00:00:00-05:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-2.783046137917421,-0.8961169369287482,,
1990-03-14 00:00:00-05:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-3.2866411238906816,-0.9358544204639624,,
1990-03-23 00:00:00-05:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.8995825867986728,-0.7162329752230029,,
1990-03-26 00:00:00-05:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-1.2436508831723538,-0.7973518242936553,,
1990-04-03 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.3737341619409494,-0.5976646170587636,,
1990-04-11 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.9706112962409594,-0.8361443594067302,,
1990-04-17 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,0.063148487207769,-0.4800123018486684,,
1990-04-24 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,1.1375445250644116,0.9269214852649383,,
1990-04-25 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,0.55875360546634,-0.07333501752326554,,
1990-04-30 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,hold,1.2993498276062534,1.363636835614089,,
1990-05-01 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,hold,0.6945241517811357,0.06614817451172716,,
1990-05-03 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.10812182356142139,-0.6379822519221876,,
1990-05-04 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-1.1720481347219007,-0.9003843174252917,,
1990-05-09 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.21057171579997466,-0.6340964458638818,,
1990-05-14 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,0.7352568890039338,0.1885897321154295,,
1990-05-15 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.6391442410326198,-0.7361408585704219,,
1990-05-17 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-1.3528054174759523,-0.8706001292648552,,
1990-05-21 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-1.5225551973335825,-0.8906421857713597,,
1990-05-25 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.8179300714808707,-0.6750513518053533,,
1990-05-30 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.9372402241867418,-0.729806069068052,,
1990-05-31 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-2.1322997278697335,-0.8932111597824259,,
1990-06-11 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-2.5923734722673704,-0.9235115525157738,,
1990-06-14 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.7701509038777031,-0.5848989444351387,,
1990-06-19 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.8666542698150322,-0.7102498993209914,,
1990-06-20 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-1.2883773604457818,-0.7995629454699764,,
1990-06-21 00:00:00-04:00,^VIX,low|trend_off|dd_ok|vol_low,,off,de-risk,-1.6844824041385413,-0.8623804408507747,,
1990-06-25 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.3238067787208693,-0.7150332331731748,,
1990-06-26 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.7069888103794705,-0.8317179059715097,,
1990-07-11 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.15792587794330906,-0.6256859141984452,,
1990-07-17 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,-0.07534503977046886,-0.5639025598047029,,
1990-07-20 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,de-risk,0.17073370543894384,-0.4760050418913355,,
1990-07-25 00:00:00-04:00,^VIX,mid|trend_off|dd_ok|vol_low,,off,hold,1.6454480572491739,4.178895552025446,,
1990-07-31 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,1.553902244616529,3.3718528905618497,,
1990-08-08 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,2.9962125489464784,101.56508331945672,,
1990-08-09 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,2.493902060242909,33.51208338266707,,
1990-08-14 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,2.400201491609326,27.029821941695186,,
1990-08-27 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,3.0015720116510196,119.45403524622316,,
1990-08-29 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,2.2963693582032225,21.498923273325953,,
1990-09-04 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,1.8161014426804276,5.4800492271710555,,
1990-09-17 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,0.8309742652084315,0.26297279216904124,,
1990-09-18 00:00:00-04:00,^VIX,high|trend_off|dd_ok|vol_low,,off,de-risk,-0.8863279467843861,-0.8423768594844225,,
