rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
1,0.04,0.46,0.03,0.18,1.3,0.1182757887067506,1.0,-0.007415020776825931,-0.14219437506771093,0.12594256403276402,0.08468363134874564,16.13642756821004,48.191607005655634,1.079857138897788,-0.27861673872090154
2,0.06,0.46,0.03,0.18,1.3,0.1182757887067506,1.0,-0.007415020776825931,-0.14219437506771093,0.12594256403276402,0.08468363134874564,16.13642756821004,48.191607005655634,1.079857138897788,-0.27861673872090154
3,0.08,0.46,0.03,0.18,1.3,0.1182757887067506,1.0,-0.007415020776825931,-0.14219437506771093,0.12594256403276402,0.08468363134874564,16.13642756821004,48.191607005655634,1.079857138897788,-0.27861673872090154
4,0.04,0.44,0.03,0.18,1.3,0.11825017378391423,1.0,-0.007097408239765235,-0.141284154170627,0.12533917860217608,0.08830383280129078,15.875056821903726,47.93023625934932,1.0793650469477551,-0.2786167387209001
5,0.06,0.44,0.03,0.18,1.3,0.11825017378391423,1.0,-0.007097408239765235,-0.141284154170627,0.12533917860217608,0.08830383280129078,15.875056821903726,47.93023625934932,1.0793650469477551,-0.2786167387209001
6,0.08,0.44,0.03,0.18,1.3,0.11825017378391423,1.0,-0.007097408239765235,-0.141284154170627,0.12533917860217608,0.08830383280129078,15.875056821903726,47.93023625934932,1.0793650469477551,-0.2786167387209001
7,0.04,0.42,0.03,0.18,1.3,0.11822070471294766,1.0,-0.006783835624094459,-0.14037351649609608,0.12473292027695974,0.09178282142983767,15.614617635490546,47.66979707293614,1.0788278196878132,-0.27861673872090076
8,0.06,0.42,0.03,0.18,1.3,0.11822070471294766,1.0,-0.006783835624094459,-0.14037351649609608,0.12473292027695974,0.09178282142983767,15.614617635490546,47.66979707293614,1.0788278196878132,-0.27861673872090076
9,0.08,0.42,0.03,0.18,1.3,0.11822070471294766,1.0,-0.006783835624094459,-0.14037351649609608,0.12473292027695974,0.09178282142983767,15.614617635490546,47.66979707293614,1.0788278196878132,-0.27861673872090076
10,0.04,0.46,0.03,0.18,1.25,0.10895327009773947,1.0,-0.006528072148799302,-0.14027808666525454,0.11382110904517757,0.07684160353906723,14.34219725903774,46.397376696483335,1.0822584786889209,-0.27551559774857537
11,0.06,0.46,0.03,0.18,1.25,0.10895327009773947,1.0,-0.006528072148799302,-0.14027808666525454,0.11382110904517757,0.07684160353906723,14.34219725903774,46.397376696483335,1.0822584786889209,-0.27551559774857537
12,0.08,0.46,0.03,0.18,1.25,0.10895327009773947,1.0,-0.006528072148799302,-0.14027808666525454,0.11382110904517757,0.07684160353906723,14.34219725903774,46.397376696483335,1.0822584786889209,-0.27551559774857537
13,0.04,0.44,0.03,0.18,1.25,0.10892805576762898,1.0,-0.006277796196889063,-0.13936583238706612,0.11322188674740759,0.0804927020094816,14.0905576535689,46.145737091014496,1.0817759404767764,-0.2755155977485767
14,0.06,0.44,0.03,0.18,1.25,0.10892805576762898,1.0,-0.006277796196889063,-0.13936583238706612,0.11322188674740759,0.0804927020094816,14.0905576535689,46.145737091014496,1.0817759404767764,-0.2755155977485767
15,0.08,0.44,0.03,0.18,1.25,0.10892805576762898,1.0,-0.006277796196889063,-0.13936583238706612,0.11322188674740759,0.0804927020094816,14.0905576535689,46.145737091014496,1.0817759404767764,-0.2755155977485767
