rank,stress_cap,state_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd
1,0.2,0.3,1.1,1.877241407399748,1.0,34.802599412820875,1.020452858317615,-0.12586168763166594,-0.2861859864791707,-0.2858714924575181
2,0.18,0.3,1.1,1.877241407399748,1.0,34.78243235408848,1.0238974337116826,-0.12200842496216235,-0.28077774394434374,-0.28465834886578834
3,0.24,0.3,1.1,1.877241407399748,1.0,34.744398709399846,1.01989485203592,-0.12586168763166594,-0.28744975138345874,-0.2871357666066714
4,0.3,0.3,1.1,1.877241407399748,1.0,34.65702528271048,1.0190256892309941,-0.12586168763166594,-0.28934648559700915,-0.2890332654087836
5,0.16,0.3,1.1,1.877241407399748,1.0,34.57875394203111,1.0339886459116208,-0.10919095596628459,-0.2535937046373705,-0.28465834886578834
6,0.14,0.3,1.1,1.877241407399748,1.0,34.36531673762767,1.042941969338839,-0.09620945220561339,-0.22549466474687874,-0.28465834886578834
7,0.12,0.3,1.1,1.877241407399748,1.0,34.14229559762267,1.050636156048402,-0.0830621387958953,-0.19645453860621476,-0.28465834886578834
8,0.1,0.3,1.1,1.877241407399748,1.0,33.9098734835234,1.056958101098365,-0.06974722594572236,-0.16644668600514145,-0.28465834886578834
9,0.18,0.3,1.05,1.857690233656357,1.0,33.04198745037274,1.0283257782553983,-0.12198634484573123,-0.28077774394434374,-0.2804608911268476
10,0.2,0.3,1.05,1.857690233656357,1.0,33.0155896787171,1.0279631026034406,-0.12208396749519335,-0.28153452185653316,-0.2812179784805837
11,0.24,0.3,1.05,1.857690233656357,1.0,32.960370546422396,1.0273889111106538,-0.12208396749519335,-0.28280652234150006,-0.2824904915290293
12,0.3,0.3,1.05,1.857690233656357,1.0,32.877473230942144,1.0264936996757787,-0.12208396749519335,-0.28471561700553993,-0.2844003557642528
13,0.16,0.3,1.05,1.857690233656357,1.0,32.84849644403384,1.038934962843843,-0.10916856690477073,-0.2535937046373705,-0.27643869998416704
14,0.14,0.3,1.05,1.857690233656357,1.0,32.64573500881739,1.04837081496748,-0.09618675044793923,-0.22549466474687874,-0.27643869998416704
15,0.12,0.3,1.05,1.857690233656357,1.0,32.433869255524755,1.0565017531644023,-0.08303912055314733,-0.19645453860621476,-0.27643869998416704
16,0.1,0.3,1.05,1.857690233656357,1.0,32.21307299408325,1.0632045360662603,-0.06972388739086854,-0.16644668600514145,-0.27643869998416704
17,0.18,0.3,1.0,1.8350321363048376,1.0,30.969348070813577,1.0320237268571808,-0.1183221072096029,-0.27654824654814536,-0.27622953042878906
18,0.2,0.3,1.0,1.8350321363048376,1.0,30.943487068401158,1.031735621333742,-0.1183221072096029,-0.27718787116745724,-0.27686941273292187
19,0.24,0.3,1.0,1.8350321363048376,1.0,30.891739038352974,1.031145112449869,-0.1183221072096029,-0.278467567583668,-0.2781496248137689
20,0.16,0.3,1.0,1.8350321363048376,1.0,30.8432537278925,1.0400848252785262,-0.10914617784325675,-0.2535937046373705,-0.26852152111364114
