rank,stress_cap,derisk_cap,panic_cap,override_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio,robust_score
1,0.16,0.3,0.08,1.05,1.857690233656357,1.0,32.84849644403384,1.038934962843843,-0.10916856690477073,-0.2535937046373705,-0.27643869998416704,0.11083143309522928,0.012406295362629494,-0.005438699984167017,-0.005438699984167017,118.82741615379913,92.44279801358134
2,0.16,0.3,0.1,1.05,1.857690233656357,1.0,32.84849644403384,1.038934962843843,-0.10916856690477073,-0.2535937046373705,-0.27643869998416704,0.11083143309522928,0.012406295362629494,-0.005438699984167017,-0.005438699984167017,118.82741615379913,92.44279801358134
3,0.16,0.3,0.12,1.05,1.857690233656357,1.0,32.84849644403384,1.038934962843843,-0.10916856690477073,-0.2535937046373705,-0.27643869998416704,0.11083143309522928,0.012406295362629494,-0.005438699984167017,-0.005438699984167017,118.82741615379913,92.44279801358134
4,0.16,0.3,0.14,1.05,1.857690233656357,1.0,32.84849644403384,1.038934962843843,-0.10916856690477073,-0.2535937046373705,-0.27643869998416704,0.11083143309522928,0.012406295362629494,-0.005438699984167017,-0.005438699984167017,118.82741615379913,92.44279801358134
5,0.18,0.3,0.08,1.05,1.857690233656357,1.0,33.04198745037274,1.0283257782553983,-0.12198634484573123,-0.28077774394434374,-0.2804608911268476,0.09801365515426877,-0.014777743944343724,-0.00946089112684756,-0.014777743944343724,117.81317287274975,92.08035032267696
6,0.18,0.3,0.1,1.05,1.857690233656357,1.0,33.04198745037274,1.0283257782553983,-0.12198634484573123,-0.28077774394434374,-0.2804608911268476,0.09801365515426877,-0.014777743944343724,-0.00946089112684756,-0.014777743944343724,117.81317287274975,92.08035032267696
7,0.18,0.3,0.12,1.05,1.857690233656357,1.0,33.04198745037274,1.0283257782553983,-0.12198634484573123,-0.28077774394434374,-0.2804608911268476,0.09801365515426877,-0.014777743944343724,-0.00946089112684756,-0.014777743944343724,117.81317287274975,92.08035032267696
8,0.18,0.3,0.14,1.05,1.857690233656357,1.0,33.04198745037274,1.0283257782553983,-0.12198634484573123,-0.28077774394434374,-0.2804608911268476,0.09801365515426877,-0.014777743944343724,-0.00946089112684756,-0.014777743944343724,117.81317287274975,92.08035032267696
9,0.14,0.3,0.08,1.05,1.857690233656357,1.0,32.64573500881739,1.04837081496748,-0.09618675044793923,-0.22549466474687874,-0.27643869998416704,0.12381324955206077,0.04050533525312128,-0.005438699984167017,-0.005438699984167017,118.09393912895396,91.87518523636703
10,0.14,0.3,0.1,1.05,1.857690233656357,1.0,32.64573500881739,1.04837081496748,-0.09618675044793923,-0.22549466474687874,-0.27643869998416704,0.12381324955206077,0.04050533525312128,-0.005438699984167017,-0.005438699984167017,118.09393912895396,91.87518523636703
