rank,stress_cap,derisk_cap,panic_cap,overall_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
1,0.22,0.34,0.08,1.1,1.1,0.85,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
2,0.22,0.34,0.08,1.1,1.1,1.0,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
3,0.22,0.34,0.08,1.1,1.1,1.15,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
4,0.22,0.34,0.1,1.1,1.1,0.85,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
5,0.22,0.34,0.1,1.1,1.1,1.0,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
6,0.22,0.34,0.1,1.1,1.1,1.15,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
7,0.22,0.34,0.12,1.1,1.1,0.85,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
8,0.22,0.34,0.12,1.1,1.1,1.0,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
9,0.22,0.34,0.12,1.1,1.1,1.15,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
10,0.22,0.34,0.14,1.1,1.1,0.85,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
11,0.22,0.34,0.14,1.1,1.1,1.0,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
12,0.22,0.34,0.14,1.1,1.1,1.15,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
13,0.22,0.34,0.16,1.1,1.1,0.85,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
14,0.22,0.34,0.16,1.1,1.1,1.0,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
15,0.22,0.34,0.16,1.1,1.1,1.15,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
16,0.22,0.34,0.2,1.1,1.1,0.85,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
17,0.22,0.34,0.2,1.1,1.1,1.0,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
18,0.22,0.34,0.2,1.1,1.1,1.15,1.9624527582412181,1.0,43.392401042668666,1.0161451906046852,-0.13407608552953298,-0.29698531695554375,-0.3024751048995653,0.08592391447046702,-0.03098531695554374,-0.03147510489956529,-0.03147510489956529,143.45776012566986
19,0.2,0.34,0.08,1.1,1.1,0.85,1.9624527582412181,1.0,43.37829094013267,1.0190722751393146,-0.1307404243944823,-0.29222967877249784,-0.3024751048995653,0.0892595756055177,-0.026229678772497822,-0.03147510489956529,-0.03147510489956529,143.41111131951214
