rank,stress_cap,derisk_cap,panic_cap,overall_scale,risk_on_scale,derisk_scale,panic_scale,min_median_terminal,min_pass_rate_terminal,avg_full_terminal,avg_full_sharpe,worst_fold_maxdd,worst_stress_maxdd,full_candidate_maxdd,fold_margin,stress_margin,full_margin,min_margin,wealth_dd_ratio
1,0.16,0.38,0.06,1.01,0.98,1.01,0.8,1.6641186994099595,1.0,27.425814900651325,1.0400509804941824,-0.1096328435226036,-0.25214760381558565,-0.2692192866135935,0.1103671564773964,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,101.87165728588826
2,0.16,0.38,0.06,1.01,0.98,1.01,0.83,1.6641186994099595,1.0,27.425814900651325,1.0400509804941824,-0.1096328435226036,-0.25214760381558565,-0.2692192866135935,0.1103671564773964,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,101.87165728588826
3,0.16,0.38,0.06,1.01,0.98,1.01,0.85,1.6641186994099595,1.0,27.425814900651325,1.0400509804941824,-0.1096328435226036,-0.25214760381558565,-0.2692192866135935,0.1103671564773964,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,101.87165728588826
4,0.16,0.38,0.06,1.01,0.98,1.01,0.87,1.6641186994099595,1.0,27.425814900651325,1.0400509804941824,-0.1096328435226036,-0.25214760381558565,-0.2692192866135935,0.1103671564773964,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,101.87165728588826
5,0.16,0.38,0.07,1.01,0.98,1.01,0.8,1.6641186994099595,1.0,27.425814900651325,1.0400509804941824,-0.1096328435226036,-0.25214760381558565,-0.2692192866135935,0.1103671564773964,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,101.87165728588826
6,0.16,0.38,0.07,1.01,0.98,1.01,0.83,1.6641186994099595,1.0,27.425814900651325,1.0400509804941824,-0.1096328435226036,-0.25214760381558565,-0.2692192866135935,0.1103671564773964,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,101.87165728588826
7,0.16,0.38,0.07,1.01,0.98,1.01,0.85,1.6641186994099595,1.0,27.425814900651325,1.0400509804941824,-0.1096328435226036,-0.25214760381558565,-0.2692192866135935,0.1103671564773964,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,101.87165728588826
8,0.16,0.38,0.07,1.01,0.98,1.01,0.87,1.6641186994099595,1.0,27.425814900651325,1.0400509804941824,-0.1096328435226036,-0.25214760381558565,-0.2692192866135935,0.1103671564773964,0.013852396184414362,0.0017807133864065072,0.0017807133864065072,101.87165728588826
9,0.16,0.38,0.06,1.01,1.0,1.01,0.8,1.662059915698722,1.0,27.318047745792104,1.036490342854501,-0.10964152555305284,-0.25201357116843515,-0.2692192866135935,0.11035847444694716,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,101.47136220965216
10,0.16,0.38,0.06,1.01,1.0,1.01,0.83,1.662059915698722,1.0,27.318047745792104,1.036490342854501,-0.10964152555305284,-0.25201357116843515,-0.2692192866135935,0.11035847444694716,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,101.47136220965216
11,0.16,0.38,0.06,1.01,1.0,1.01,0.85,1.662059915698722,1.0,27.318047745792104,1.036490342854501,-0.10964152555305284,-0.25201357116843515,-0.2692192866135935,0.11035847444694716,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,101.47136220965216
12,0.16,0.38,0.06,1.01,1.0,1.01,0.87,1.662059915698722,1.0,27.318047745792104,1.036490342854501,-0.10964152555305284,-0.25201357116843515,-0.2692192866135935,0.11035847444694716,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,101.47136220965216
13,0.16,0.38,0.07,1.01,1.0,1.01,0.8,1.662059915698722,1.0,27.318047745792104,1.036490342854501,-0.10964152555305284,-0.25201357116843515,-0.2692192866135935,0.11035847444694716,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,101.47136220965216
14,0.16,0.38,0.07,1.01,1.0,1.01,0.83,1.662059915698722,1.0,27.318047745792104,1.036490342854501,-0.10964152555305284,-0.25201357116843515,-0.2692192866135935,0.11035847444694716,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,101.47136220965216
15,0.16,0.38,0.07,1.01,1.0,1.01,0.85,1.662059915698722,1.0,27.318047745792104,1.036490342854501,-0.10964152555305284,-0.25201357116843515,-0.2692192866135935,0.11035847444694716,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,101.47136220965216
16,0.16,0.38,0.07,1.01,1.0,1.01,0.87,1.662059915698722,1.0,27.318047745792104,1.036490342854501,-0.10964152555305284,-0.25201357116843515,-0.2692192866135935,0.11035847444694716,0.013986428831564868,0.0017807133864065072,0.0017807133864065072,101.47136220965216
17,0.15,0.38,0.06,1.01,0.98,1.01,0.8,1.6599244086522236,1.0,27.2711149253869,1.0435891961792936,-0.10322772904145283,-0.23778437948931663,-0.2692192866135935,0.11677227095854717,0.02821562051068338,0.0017807133864065072,0.0017807133864065072,101.29703287019228
18,0.15,0.38,0.06,1.01,0.98,1.01,0.83,1.6599244086522236,1.0,27.2711149253869,1.0435891961792936,-0.10322772904145283,-0.23778437948931663,-0.2692192866135935,0.11677227095854717,0.02821562051068338,0.0017807133864065072,0.0017807133864065072,101.29703287019228
19,0.15,0.38,0.06,1.01,0.98,1.01,0.85,1.6599244086522236,1.0,27.2711149253869,1.0435891961792936,-0.10322772904145283,-0.23778437948931663,-0.2692192866135935,0.11677227095854717,0.02821562051068338,0.0017807133864065072,0.0017807133864065072,101.29703287019228
20,0.15,0.38,0.06,1.01,0.98,1.01,0.87,1.6599244086522236,1.0,27.2711149253869,1.0435891961792936,-0.10322772904145283,-0.23778437948931663,-0.2692192866135935,0.11677227095854717,0.02821562051068338,0.0017807133864065072,0.0017807133864065072,101.29703287019228
21,0.15,0.38,0.07,1.01,0.98,1.01,0.8,1.6599244086522236,1.0,27.2711149253869,1.0435891961792936,-0.10322772904145283,-0.23778437948931663,-0.2692192866135935,0.11677227095854717,0.02821562051068338,0.0017807133864065072,0.0017807133864065072,101.29703287019228
22,0.15,0.38,0.07,1.01,0.98,1.01,0.83,1.6599244086522236,1.0,27.2711149253869,1.0435891961792936,-0.10322772904145283,-0.23778437948931663,-0.2692192866135935,0.11677227095854717,0.02821562051068338,0.0017807133864065072,0.0017807133864065072,101.29703287019228
23,0.15,0.38,0.07,1.01,0.98,1.01,0.85,1.6599244086522236,1.0,27.2711149253869,1.0435891961792936,-0.10322772904145283,-0.23778437948931663,-0.2692192866135935,0.11677227095854717,0.02821562051068338,0.0017807133864065072,0.0017807133864065072,101.29703287019228
24,0.15,0.38,0.07,1.01,0.98,1.01,0.87,1.6599244086522236,1.0,27.2711149253869,1.0435891961792936,-0.10322772904145283,-0.23778437948931663,-0.2692192866135935,0.11677227095854717,0.02821562051068338,0.0017807133864065072,0.0017807133864065072,101.29703287019228
25,0.16,0.38,0.06,1.01,1.02,1.01,0.8,1.6600020242434286,1.0,27.21039597614253,1.0329007178759073,-0.10965020758350352,-0.25187961701721795,-0.2692192866135935,0.11034979241649648,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,101.07149572533119
26,0.16,0.38,0.06,1.01,1.02,1.01,0.83,1.6600020242434286,1.0,27.21039597614253,1.0329007178759073,-0.10965020758350352,-0.25187961701721795,-0.2692192866135935,0.11034979241649648,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,101.07149572533119
27,0.16,0.38,0.06,1.01,1.02,1.01,0.85,1.6600020242434286,1.0,27.21039597614253,1.0329007178759073,-0.10965020758350352,-0.25187961701721795,-0.2692192866135935,0.11034979241649648,0.014120382982782065,0.0017807133864065072,0.0017807133864065072,101.07149572533119
