rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
1,0.0,0.4,0.02,0.36,0.9,0.18074045905076574,1.0,-0.03997564760394817,-0.19525412354486238,0.42838156527691296,0.15578506551080487,116.9169604842707,165.10856748992634,1.0398289144072161,-0.43039113327832135
2,0.01,0.4,0.02,0.36,0.9,0.18074045905076574,1.0,-0.03997564760394817,-0.19525412354486238,0.42838156527691296,0.15578506551080487,116.9169604842707,165.10856748992634,1.0398289144072161,-0.43039113327832135
3,0.02,0.4,0.02,0.36,0.9,0.18074045905076574,1.0,-0.03997564760394817,-0.19525412354486238,0.42838156527691296,0.15578506551080487,116.9169604842707,165.10856748992634,1.0398289144072161,-0.43039113327832135
4,0.0,0.35,0.02,0.36,0.9,0.17379275171180497,1.0,-0.03997564760394834,-0.1931239961238005,0.42071951606566504,0.15599693203650183,114.65144445231644,162.84305145797208,1.038141374926288,-0.43085215367597995
5,0.01,0.35,0.02,0.36,0.9,0.17379275171180497,1.0,-0.03997564760394834,-0.1931239961238005,0.42071951606566504,0.15599693203650183,114.65144445231644,162.84305145797208,1.038141374926288,-0.43085215367597995
6,0.02,0.35,0.02,0.36,0.9,0.17379275171180497,1.0,-0.03997564760394834,-0.1931239961238005,0.42071951606566504,0.15599693203650183,114.65144445231644,162.84305145797208,1.038141374926288,-0.43085215367597995
7,0.0,0.3,0.02,0.36,0.9,0.16651445985782987,1.0,-0.03997564760394767,-0.19103067844357147,0.4126026104354881,0.154320704948222,112.32232112188206,160.5139281275377,1.0362061572443035,-0.4313223438154167
8,0.01,0.3,0.02,0.36,0.9,0.16651445985782987,1.0,-0.03997564760394767,-0.19103067844357147,0.4126026104354881,0.154320704948222,112.32232112188206,160.5139281275377,1.0362061572443035,-0.4313223438154167
9,0.02,0.3,0.02,0.36,0.9,0.16651445985782987,1.0,-0.03997564760394767,-0.19103067844357147,0.4126026104354881,0.154320704948222,112.32232112188206,160.5139281275377,1.0362061572443035,-0.4313223438154167
10,0.0,0.25,0.02,0.36,0.9,0.15923573079355902,0.75,-0.03997564760394817,-0.1889351381905855,0.40449285544464497,0.15113345111443516,110.01639648475839,158.20800349041403,1.0341270730657188,-0.4317925292818351
11,0.01,0.25,0.02,0.36,0.9,0.15923573079355902,0.75,-0.03997564760394817,-0.1889351381905855,0.40449285544464497,0.15113345111443516,110.01639648475839,158.20800349041403,1.0341270730657188,-0.4317925292818351
12,0.02,0.25,0.02,0.36,0.9,0.15923573079355902,0.75,-0.03997564760394817,-0.1889351381905855,0.40449285544464497,0.15113345111443516,110.01639648475839,158.20800349041403,1.0341270730657188,-0.4317925292818351
13,0.0,0.2,0.02,0.36,0.9,0.15195664129406916,0.75,-0.03997564760394806,-0.18683737557865554,0.39639029940841536,0.14640609743154542,107.7336253649963,155.92523237065194,1.0319042954660018,-0.4322627100750951
14,0.01,0.2,0.02,0.36,0.9,0.15195664129406916,0.75,-0.03997564760394806,-0.18683737557865554,0.39639029940841536,0.14640609743154542,107.7336253649963,155.92523237065194,1.0319042954660018,-0.4322627100750951
15,0.02,0.2,0.02,0.36,0.9,0.15195664129406916,0.75,-0.03997564760394806,-0.18683737557865554,0.39639029940841536,0.14640609743154542,107.7336253649963,155.92523237065194,1.0319042954660018,-0.4322627100750951
16,0.0,0.4,0.02,0.32,0.9,0.09531328503810998,0.75,-0.0291109418003197,-0.1820453509103367,0.29298217568457047,0.15891875211784054,69.5139260585052,117.70553306416085,1.0539213923006188,-0.39311765755211125
17,0.01,0.4,0.02,0.32,0.9,0.09531328503810998,0.75,-0.0291109418003197,-0.1820453509103367,0.29298217568457047,0.15891875211784054,69.5139260585052,117.70553306416085,1.0539213923006188,-0.39311765755211125
18,0.02,0.4,0.02,0.32,0.9,0.09531328503810998,0.75,-0.0291109418003197,-0.1820453509103367,0.29298217568457047,0.15891875211784054,69.5139260585052,117.70553306416085,1.0539213923006188,-0.39311765755211125
19,0.0,0.35,0.02,0.32,0.9,0.0887083857299471,0.75,-0.029110941800320145,-0.17987034431129423,0.2858597720440814,0.16026610626464083,67.91388509692698,116.10549210258262,1.0522319244411784,-0.3936064084854737
20,0.01,0.35,0.02,0.32,0.9,0.0887083857299471,0.75,-0.029110941800320145,-0.17987034431129423,0.2858597720440814,0.16026610626464083,67.91388509692698,116.10549210258262,1.0522319244411784,-0.3936064084854737
21,0.02,0.35,0.02,0.32,0.9,0.0887083857299471,0.75,-0.029110941800320145,-0.17987034431129423,0.2858597720440814,0.16026610626464083,67.91388509692698,116.10549210258262,1.0522319244411784,-0.3936064084854737
22,0.0,0.3,0.02,0.32,0.9,0.0819424526958572,0.75,-0.0291109418003192,-0.17771273598363202,0.27852453332746846,0.15971051304259481,66.2981843368641,114.48979134251972,1.0503131409061675,-0.3941000502056936
23,0.01,0.3,0.02,0.32,0.9,0.0819424526958572,0.75,-0.0291109418003192,-0.17771273598363202,0.27852453332746846,0.15971051304259481,66.2981843368641,114.48979134251972,1.0503131409061675,-0.3941000502056936
24,0.02,0.3,0.02,0.32,0.9,0.0819424526958572,0.75,-0.0291109418003192,-0.17771273598363202,0.27852453332746846,0.15971051304259481,66.2981843368641,114.48979134251972,1.0503131409061675,-0.3941000502056936
25,0.0,0.25,0.02,0.32,0.9,0.07493822003407602,0.75,-0.02911094180031948,-0.175582667561066,0.27087161059348097,0.15707457038850453,64.65323948551776,112.84484649117339,1.048135965404251,-0.39460100669820075
26,0.01,0.25,0.02,0.32,0.9,0.07493822003407602,0.75,-0.02911094180031948,-0.175582667561066,0.27087161059348097,0.15707457038850453,64.65323948551776,112.84484649117339,1.048135965404251,-0.39460100669820075
27,0.02,0.25,0.02,0.32,0.9,0.07493822003407602,0.75,-0.02911094180031948,-0.175582667561066,0.27087161059348097,0.15707457038850453,64.65323948551776,112.84484649117339,1.048135965404251,-0.39460100669820075
28,0.0,0.2,0.02,0.32,0.9,0.0679336052608206,0.75,-0.029110941800319368,-0.1734503400382743,0.2632254303902506,0.15265595662203163,63.02481503077279,111.21642203642843,1.045785503040191,-0.3951019582191053
29,0.01,0.2,0.02,0.32,0.9,0.0679336052608206,0.75,-0.029110941800319368,-0.1734503400382743,0.2632254303902506,0.15265595662203163,63.02481503077279,111.21642203642843,1.045785503040191,-0.3951019582191053
30,0.02,0.2,0.02,0.32,0.9,0.0679336052608206,0.75,-0.029110941800319368,-0.1734503400382743,0.2632254303902506,0.15265595662203163,63.02481503077279,111.21642203642843,1.045785503040191,-0.3951019582191053
31,0.0,0.4,0.02,0.28,0.9,0.012598082833887192,0.75,-0.018977114058100153,-0.16867135611310413,0.16495541319434281,0.15415138679870832,35.36187205943701,83.55347906509265,1.0671650570021918,-0.35356276354107496
32,0.01,0.4,0.02,0.28,0.9,0.012598082833887192,0.75,-0.018977114058100153,-0.16867135611310413,0.16495541319434281,0.15415138679870832,35.36187205943701,83.55347906509265,1.0671650570021918,-0.35356276354107496
33,0.02,0.4,0.02,0.28,0.9,0.012598082833887192,0.75,-0.018977114058100153,-0.16867135611310413,0.16495541319434281,0.15415138679870832,35.36187205943701,83.55347906509265,1.0671650570021918,-0.35356276354107496
34,0.0,0.4,0.02,0.36,0.7,0.008285187560323592,0.75,-0.04053817956185968,-0.18588790823347923,0.29238683540869864,0.12397412217292635,72.9551591632713,121.14676616892693,1.016481784806405,-0.42877220195936894
35,0.01,0.4,0.02,0.36,0.7,0.008285187560323592,0.75,-0.04053817956185968,-0.18588790823347923,0.29238683540869864,0.12397412217292635,72.9551591632713,121.14676616892693,1.016481784806405,-0.42877220195936894
36,0.02,0.4,0.02,0.36,0.7,0.008285187560323592,0.75,-0.04053817956185968,-0.18588790823347923,0.29238683540869864,0.12397412217292635,72.9551591632713,121.14676616892693,1.016481784806405,-0.42877220195936894
