rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,worst_stress_maxdd,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
1,0.02,0.44,0.03,0.2,1.2,0.06308803091542436,1.0,-0.006319722775670611,-0.15803734826814653,0.08575569149006836,0.08529426758400022,-0.31108086054900397,14.327587304049715,62.51919430970535,1.0663026712521644,-0.3110808605490042
2,0.04,0.44,0.03,0.2,1.2,0.06308803091542436,1.0,-0.006319722775670611,-0.15803734826814653,0.08575569149006836,0.08529426758400022,-0.31108086054900397,14.327587304049715,62.51919430970535,1.0663026712521644,-0.3110808605490042
3,0.06,0.44,0.03,0.2,1.2,0.06308803091542436,1.0,-0.006319722775670611,-0.15803734826814653,0.08575569149006836,0.08529426758400022,-0.31108086054900397,14.327587304049715,62.51919430970535,1.0663026712521644,-0.3110808605490042
4,0.02,0.42,0.03,0.2,1.2,0.06000674289650321,1.0,-0.006009778402472965,-0.15714108119553438,0.08308839630210556,0.08846878483214866,-0.31108086054900363,13.987873141431464,62.1794801470871,1.0657245786406158,-0.31108086054900286
5,0.04,0.42,0.03,0.2,1.2,0.06000674289650321,1.0,-0.006009778402472965,-0.15714108119553438,0.08308839630210556,0.08846878483214866,-0.31108086054900363,13.987873141431464,62.1794801470871,1.0657245786406158,-0.31108086054900286
6,0.06,0.42,0.03,0.2,1.2,0.06000674289650321,1.0,-0.006009778402472965,-0.15714108119553438,0.08308839630210556,0.08846878483214866,-0.31108086054900363,13.987873141431464,62.1794801470871,1.0657245786406158,-0.31108086054900286
7,0.02,0.4,0.03,0.2,1.2,0.057281331348625564,1.0,-0.005699804816240217,-0.15624439832437442,0.0804830316979836,0.0910832873933653,-0.3110808605490031,13.6493743258699,61.84098133152553,1.0651082971000674,-0.3110808605490035
8,0.04,0.4,0.03,0.2,1.2,0.057281331348625564,1.0,-0.005699804816240217,-0.15624439832437442,0.0804830316979836,0.0910832873933653,-0.3110808605490031,13.6493743258699,61.84098133152553,1.0651082971000674,-0.3110808605490035
9,0.06,0.4,0.03,0.2,1.2,0.057281331348625564,1.0,-0.005699804816240217,-0.15624439832437442,0.0804830316979836,0.0910832873933653,-0.3110808605490031,13.6493743258699,61.84098133152553,1.0651082971000674,-0.3110808605490035
10,0.02,0.44,0.03,0.2,1.15,0.039604543759971245,1.0,-0.005166972941633263,-0.15557517200566717,0.06772664860022791,0.08004347840806007,-0.3071454911331961,11.498281178728526,59.68988818438416,1.0712789189580743,-0.3071454911331959
11,0.04,0.44,0.03,0.2,1.15,0.039604543759971245,1.0,-0.005166972941633263,-0.15557517200566717,0.06772664860022791,0.08004347840806007,-0.3071454911331961,11.498281178728526,59.68988818438416,1.0712789189580743,-0.3071454911331959
12,0.06,0.44,0.03,0.2,1.15,0.039604543759971245,1.0,-0.005166972941633263,-0.15557517200566717,0.06772664860022791,0.08004347840806007,-0.3071454911331961,11.498281178728526,59.68988818438416,1.0712789189580743,-0.3071454911331959
13,0.02,0.42,0.03,0.2,1.15,0.03690072794078714,1.0,-0.004856646322010272,-0.1546762839527699,0.06514699950040348,0.08405240548252174,-0.3071454911331969,11.173940780467944,59.36554778612358,1.0707095274552731,-0.30714549113319567
14,0.04,0.42,0.03,0.2,1.15,0.03690072794078714,1.0,-0.004856646322010272,-0.1546762839527699,0.06514699950040348,0.08405240548252174,-0.3071454911331969,11.173940780467944,59.36554778612358,1.0707095274552731,-0.30714549113319567
15,0.06,0.42,0.03,0.2,1.15,0.03690072794078714,1.0,-0.004856646322010272,-0.1546762839527699,0.06514699950040348,0.08405240548252174,-0.3071454911331969,11.173940780467944,59.36554778612358,1.0707095274552731,-0.30714549113319567
16,0.02,0.4,0.03,0.2,1.15,0.034208078316826596,1.0,-0.0045462904533247195,-0.15377697888539255,0.0625690071158667,0.08614739927962041,-0.3071454911331962,10.850760728732844,59.04236773438848,1.0701005068166625,-0.307145491133196
17,0.04,0.4,0.03,0.2,1.15,0.034208078316826596,1.0,-0.0045462904533247195,-0.15377697888539255,0.0625690071158667,0.08614739927962041,-0.3071454911331962,10.850760728732844,59.04236773438848,1.0701005068166625,-0.307145491133196
18,0.06,0.4,0.03,0.2,1.15,0.034208078316826596,1.0,-0.0045462904533247195,-0.15377697888539255,0.0625690071158667,0.08614739927962041,-0.3071454911331962,10.850760728732844,59.04236773438848,1.0701005068166625,-0.307145491133196
19,0.02,0.44,0.03,0.2,1.1,0.016101357515280634,0.75,-0.00401616702028168,-0.15312095463003605,0.04905771867780633,0.07749914325403612,-0.30323470000356967,8.657917408241005,56.84952441389664,1.0753696941022166,-0.3032347000035689
20,0.04,0.44,0.03,0.2,1.1,0.016101357515280634,0.75,-0.00401616702028168,-0.15312095463003605,0.04905771867780633,0.07749914325403612,-0.30323470000356967,8.657917408241005,56.84952441389664,1.0753696941022166,-0.3032347000035689
21,0.06,0.44,0.03,0.2,1.1,0.016101357515280634,0.75,-0.00401616702028168,-0.15312095463003605,0.04905771867780633,0.07749914325403612,-0.30323470000356967,8.657917408241005,56.84952441389664,1.0753696941022166,-0.3032347000035689
22,0.02,0.42,0.03,0.2,1.1,0.013442131571057336,0.5,-0.0037054587988255006,-0.152219454069068,0.046507561059491276,0.08071634011006679,-0.30323470000356945,8.349010858904549,56.54061786456018,1.0748090507281811,-0.30323470000356945
23,0.04,0.42,0.03,0.2,1.1,0.013442131571057336,0.5,-0.0037054587988255006,-0.152219454069068,0.046507561059491276,0.08071634011006679,-0.30323470000356945,8.349010858904549,56.54061786456018,1.0748090507281811,-0.30323470000356945
24,0.06,0.42,0.03,0.2,1.1,0.013442131571057336,0.5,-0.0037054587988255006,-0.152219454069068,0.046507561059491276,0.08071634011006679,-0.30323470000356945,8.349010858904549,56.54061786456018,1.0748090507281811,-0.30323470000356945
25,0.02,0.4,0.03,0.2,1.1,0.010782640897028184,0.5,-0.0034938284004841225,-0.15131753528161906,0.04395777655212288,0.0825266163874339,-0.3032347000035692,8.041209440606963,56.232816446262596,1.0742073312888112,-0.3032347000035698
26,0.04,0.4,0.03,0.2,1.1,0.010782640897028184,0.5,-0.0034938284004841225,-0.15131753528161906,0.04395777655212288,0.0825266163874339,-0.3032347000035692,8.041209440606963,56.232816446262596,1.0742073312888112,-0.3032347000035698
27,0.06,0.4,0.03,0.2,1.1,0.010782640897028184,0.5,-0.0034938284004841225,-0.15131753528161906,0.04395777655212288,0.0825266163874339,-0.3032347000035692,8.041209440606963,56.232816446262596,1.0742073312888112,-0.3032347000035698
28,0.02,0.44,0.03,0.18,1.2,0.003097158582474946,0.5,-0.003850148013291088,-0.15129873027598784,0.014105199766418343,0.06634864404600284,-0.2944613722000843,3.781859147866136,51.97346615352177,1.05730675121375,-0.3020214734391887
29,0.04,0.44,0.03,0.18,1.2,0.003097158582474946,0.5,-0.003850148013291088,-0.15129873027598784,0.014105199766418343,0.06634864404600284,-0.2944613722000843,3.781859147866136,51.97346615352177,1.05730675121375,-0.3020214734391887
30,0.06,0.44,0.03,0.18,1.2,0.003097158582474946,0.5,-0.003850148013291088,-0.15129873027598784,0.014105199766418343,0.06634864404600284,-0.2944613722000843,3.781859147866136,51.97346615352177,1.05730675121375,-0.3020214734391887
31,0.02,0.42,0.03,0.18,1.2,0.000501487770135256,0.5,-0.003539387519909565,-0.15039529576379107,0.011770885149835573,0.07043173626903375,-0.2944613722000837,3.4994279494409,51.691034955096534,1.0567311786227416,-0.30202147343918884
32,0.04,0.42,0.03,0.18,1.2,0.000501487770135256,0.5,-0.003539387519909565,-0.15039529576379107,0.011770885149835573,0.07043173626903375,-0.2944613722000837,3.4994279494409,51.691034955096534,1.0567311786227416,-0.30202147343918884
33,0.06,0.42,0.03,0.18,1.2,0.000501487770135256,0.5,-0.003539387519909565,-0.15039529576379107,0.011770885149835573,0.07043173626903375,-0.2944613722000837,3.4994279494409,51.691034955096534,1.0567311786227416,-0.30202147343918884
34,0.02,0.4,0.03,0.18,1.2,-0.002093090845444734,0.5,-0.003228597737924277,-0.14949144213742127,0.009992856588947762,0.07339102520530025,-0.2944613722000845,3.2180073088948618,51.409614314550495,1.0561147705333602,-0.3020214734391887
35,0.04,0.4,0.03,0.18,1.2,-0.002093090845444734,0.5,-0.003228597737924277,-0.14949144213742127,0.009992856588947762,0.07339102520530025,-0.2944613722000845,3.2180073088948618,51.409614314550495,1.0561147705333602,-0.3020214734391887
