rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,worst_fold_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
1,0.0,0.4,0.02,0.22,1.15,0.07816581667864186,1.0,-0.007748529944352656,-0.16055411217161675,0.12263667968942595,0.11146384044288826,22.22219051920532,70.41379752486095,1.073494749760064,-0.32360589804304263
2,0.0,0.4,0.03,0.22,1.15,0.07816581667864186,1.0,-0.007748529944352656,-0.16055411217161675,0.12263667968942595,0.11146384044288826,22.22219051920532,70.41379752486095,1.073494749760064,-0.32360589804304263
3,0.02,0.4,0.02,0.22,1.15,0.07816581667864186,1.0,-0.007748529944352656,-0.16055411217161675,0.12263667968942595,0.11146384044288826,22.22219051920532,70.41379752486095,1.073494749760064,-0.32360589804304263
4,0.02,0.4,0.03,0.22,1.15,0.07816581667864186,1.0,-0.007748529944352656,-0.16055411217161675,0.12263667968942595,0.11146384044288826,22.22219051920532,70.41379752486095,1.073494749760064,-0.32360589804304263
5,0.04,0.4,0.02,0.22,1.15,0.07816581667864186,1.0,-0.007748529944352656,-0.16055411217161675,0.12263667968942595,0.11146384044288826,22.22219051920532,70.41379752486095,1.073494749760064,-0.32360589804304263
6,0.04,0.4,0.03,0.22,1.15,0.07816581667864186,1.0,-0.007748529944352656,-0.16055411217161675,0.12263667968942595,0.11146384044288826,22.22219051920532,70.41379752486095,1.073494749760064,-0.32360589804304263
7,0.0,0.38,0.02,0.22,1.15,0.07541704363682467,1.0,-0.007748529944352545,-0.15966158992109858,0.11998292094685084,0.1126254593063667,21.838177767880502,70.02978477353614,1.0728449795646382,-0.3236058980430425
8,0.0,0.38,0.03,0.22,1.15,0.07541704363682467,1.0,-0.007748529944352545,-0.15966158992109858,0.11998292094685084,0.1126254593063667,21.838177767880502,70.02978477353614,1.0728449795646382,-0.3236058980430425
9,0.02,0.38,0.02,0.22,1.15,0.07541704363682467,1.0,-0.007748529944352545,-0.15966158992109858,0.11998292094685084,0.1126254593063667,21.838177767880502,70.02978477353614,1.0728449795646382,-0.3236058980430425
10,0.02,0.38,0.03,0.22,1.15,0.07541704363682467,1.0,-0.007748529944352545,-0.15966158992109858,0.11998292094685084,0.1126254593063667,21.838177767880502,70.02978477353614,1.0728449795646382,-0.3236058980430425
11,0.04,0.38,0.02,0.22,1.15,0.07541704363682467,1.0,-0.007748529944352545,-0.15966158992109858,0.11998292094685084,0.1126254593063667,21.838177767880502,70.02978477353614,1.0728449795646382,-0.3236058980430425
12,0.04,0.38,0.03,0.22,1.15,0.07541704363682467,1.0,-0.007748529944352545,-0.15966158992109858,0.11998292094685084,0.1126254593063667,21.838177767880502,70.02978477353614,1.0728449795646382,-0.3236058980430425
13,0.0,0.36,0.02,0.22,1.15,0.07266802092709734,1.0,-0.007748529944352878,-0.15876865395534878,0.11732957110850283,0.11345846392851458,21.45554887530522,69.64715588096085,1.0721583041606628,-0.32360589804304274
14,0.0,0.36,0.03,0.22,1.15,0.07266802092709734,1.0,-0.007748529944352878,-0.15876865395534878,0.11732957110850283,0.11345846392851458,21.45554887530522,69.64715588096085,1.0721583041606628,-0.32360589804304274
15,0.02,0.36,0.02,0.22,1.15,0.07266802092709734,1.0,-0.007748529944352878,-0.15876865395534878,0.11732957110850283,0.11345846392851458,21.45554887530522,69.64715588096085,1.0721583041606628,-0.32360589804304274
16,0.02,0.36,0.03,0.22,1.15,0.07266802092709734,1.0,-0.007748529944352878,-0.15876865395534878,0.11732957110850283,0.11345846392851458,21.45554887530522,69.64715588096085,1.0721583041606628,-0.32360589804304274
17,0.04,0.36,0.02,0.22,1.15,0.07266802092709734,1.0,-0.007748529944352878,-0.15876865395534878,0.11732957110850283,0.11345846392851458,21.45554887530522,69.64715588096085,1.0721583041606628,-0.32360589804304274
18,0.04,0.36,0.03,0.22,1.15,0.07266802092709734,1.0,-0.007748529944352878,-0.15876865395534878,0.11732957110850283,0.11345846392851458,21.45554887530522,69.64715588096085,1.0721583041606628,-0.32360589804304274
19,0.0,0.34,0.02,0.22,1.15,0.0699187533563228,1.0,-0.007748529944352878,-0.15787530426015017,0.11467663348964124,0.11395606776529006,21.07430394268423,69.26591094833987,1.0714346502946759,-0.3236058980430434
20,0.0,0.34,0.03,0.22,1.15,0.0699187533563228,1.0,-0.007748529944352878,-0.15787530426015017,0.11467663348964124,0.11395606776529006,21.07430394268423,69.26591094833987,1.0714346502946759,-0.3236058980430434
