rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
1,0.08,0.48,0.03,0.14,1.3,0.05388831247096282,1.0,0.0020746800241350227,0.05722081248050633,0.23506628277852526,3.823716992062309,20.074040705136625,1.0890241820720759,-0.20751598107001612
2,0.1,0.48,0.03,0.14,1.3,0.05388831247096282,1.0,0.0020746800241350227,0.05722081248050633,0.23506628277852526,3.823716992062309,20.074040705136625,1.0890241820720759,-0.20751598107001612
3,0.08,0.46,0.03,0.14,1.3,0.05163541193192067,1.0,0.0022242153030072043,0.05514081792145009,0.2387483390348172,3.7176754255796176,19.967999138653933,1.0889479606558985,-0.20751598107001512
4,0.1,0.46,0.03,0.14,1.3,0.05163541193192067,1.0,0.0022242153030072043,0.05514081792145009,0.2387483390348172,3.7176754255796176,19.967999138653933,1.0889479606558985,-0.20751598107001512
5,0.08,0.48,0.03,0.14,1.25,0.047037969940914026,1.0,0.0018805658598721742,0.05169672142331979,0.22821796929523316,3.294756388285414,19.54508010135973,1.090316803016988,-0.2053635795630293
6,0.1,0.48,0.03,0.14,1.25,0.047037969940914026,1.0,0.0018805658598721742,0.05169672142331979,0.22821796929523316,3.294756388285414,19.54508010135973,1.090316803016988,-0.2053635795630293
7,0.08,0.46,0.03,0.14,1.25,0.04479591123233573,1.0,0.0020300705101352623,0.04962456074456697,0.2319512586338973,3.191516332476972,19.441840045551288,1.0902651428147352,-0.20536357956302997
8,0.1,0.46,0.03,0.14,1.25,0.04479591123233573,1.0,0.0020300705101352623,0.04962456074456697,0.2319512586338973,3.191516332476972,19.441840045551288,1.0902651428147352,-0.20536357956302997
9,0.08,0.48,0.03,0.12,1.3,0.004033714017170009,0.6,0.0025688052278611817,0.00960028153423235,0.1507437510817701,0.5077529335908828,16.7580766466652,1.0788836577502563,-0.1891908060356624
10,0.1,0.48,0.03,0.12,1.3,0.004033714017170009,0.6,0.0025688052278611817,0.00960028153423235,0.1507437510817701,0.5077529335908828,16.7580766466652,1.0788836577502563,-0.1891908060356624
11,0.08,0.46,0.03,0.12,1.3,0.001965598968553639,0.6,0.0039699520932691135,0.007622173729862365,0.15802341372827744,0.4192216064120231,16.66954531948634,1.07889150163346,-0.18919080603566296
12,0.1,0.46,0.03,0.12,1.3,0.001965598968553639,0.6,0.0039699520932691135,0.007622173729862365,0.15802341372827744,0.4192216064120231,16.66954531948634,1.07889150163346,-0.18919080603566296
13,0.08,0.48,0.03,0.12,1.25,-0.0008822671043775543,0.4,0.0026547132855760935,0.004818996574451913,0.1491628978149735,0.06608941300366311,16.31641312607798,1.0807636441476147,-0.18698946896530677
14,0.1,0.48,0.03,0.12,1.25,-0.0008822671043775543,0.4,0.0026547132855760935,0.004818996574451913,0.1491628978149735,0.06608941300366311,16.31641312607798,1.0807636441476147,-0.18698946896530677
15,0.08,0.46,0.03,0.12,1.25,-0.0029436593383054266,0.4,0.004055987096554303,0.0028472222365857705,0.15659823735137776,-0.02010258325868719,16.23022112981563,1.0808032428914538,-0.18698946896530733
16,0.1,0.46,0.03,0.12,1.25,-0.0029436593383054266,0.4,0.004055987096554303,0.0028472222365857705,0.15659823735137776,-0.02010258325868719,16.23022112981563,1.0808032428914538,-0.18698946896530733
