rank,rerisk,hold,cap,derisk,override_scale,min_median_delta_terminal,min_pass_rate_terminal,worst_median_delta_maxdd,avg_median_delta_terminal,avg_median_delta_sharpe,full_delta_terminal,full_candidate_terminal,full_candidate_sharpe,full_candidate_maxdd
1,0.06,0.46,0.03,0.16,1.3,0.12109406343832896,1.0,-0.008191982206072201,0.14853512659157986,0.048849408901922596,11.981138732308978,32.0551794374456,1.0840412119128633,-0.2419860634434885
2,0.08,0.46,0.03,0.16,1.3,0.12109406343832896,1.0,-0.008191982206072201,0.14853512659157986,0.048849408901922596,11.981138732308978,32.0551794374456,1.0840412119128633,-0.2419860634434885
3,0.1,0.46,0.03,0.16,1.3,0.12109406343832896,1.0,-0.008191982206072201,0.14853512659157986,0.048849408901922596,11.981138732308978,32.0551794374456,1.0840412119128633,-0.2419860634434885
4,0.06,0.48,0.03,0.16,1.3,0.11970244537956609,1.0,-0.008191982206071757,0.1486443793516586,0.0446073425923638,12.155624336782616,32.22966504191924,1.0843868122944256,-0.24198606344348883
5,0.08,0.48,0.03,0.16,1.3,0.11970244537956609,1.0,-0.008191982206071757,0.1486443793516586,0.0446073425923638,12.155624336782616,32.22966504191924,1.0843868122944256,-0.24198606344348883
6,0.1,0.48,0.03,0.16,1.3,0.11970244537956609,1.0,-0.008191982206071757,0.1486443793516586,0.0446073425923638,12.155624336782616,32.22966504191924,1.0843868122944256,-0.24198606344348883
7,0.06,0.5,0.03,0.16,1.3,0.11830673096669853,1.0,-0.008191982206072923,0.14875075795000037,0.040923997900449614,12.33072945287541,32.404770158012035,1.0846761903548932,-0.24198606344348972
8,0.08,0.5,0.03,0.16,1.3,0.11830673096669853,1.0,-0.008191982206072923,0.14875075795000037,0.040923997900449614,12.33072945287541,32.404770158012035,1.0846761903548932,-0.24198606344348972
9,0.1,0.5,0.03,0.16,1.3,0.11830673096669853,1.0,-0.008191982206072923,0.14875075795000037,0.040923997900449614,12.33072945287541,32.404770158012035,1.0846761903548932,-0.24198606344348972
10,0.06,0.46,0.03,0.16,1.25,0.11463670611942134,1.0,-0.008456327489069215,0.1398936020702609,0.0416538407974568,11.04266636389098,31.116707069027605,1.084589165971039,-0.23951689765194206
11,0.08,0.46,0.03,0.16,1.25,0.11463670611942134,1.0,-0.008456327489069215,0.1398936020702609,0.0416538407974568,11.04266636389098,31.116707069027605,1.084589165971039,-0.23951689765194206
12,0.1,0.46,0.03,0.16,1.25,0.11463670611942134,1.0,-0.008456327489069215,0.1398936020702609,0.0416538407974568,11.04266636389098,31.116707069027605,1.084589165971039,-0.23951689765194206
13,0.06,0.48,0.03,0.16,1.25,0.11325056959757307,1.0,-0.008456327489069604,0.1400016866944875,0.0367388185954986,11.21204359207836,31.286084297214984,1.0849241305683082,-0.23951689765194273
14,0.08,0.48,0.03,0.16,1.25,0.11325056959757307,1.0,-0.008456327489069604,0.1400016866944875,0.0367388185954986,11.21204359207836,31.286084297214984,1.0849241305683082,-0.23951689765194273
15,0.1,0.48,0.03,0.16,1.25,0.11325056959757307,1.0,-0.008456327489069604,0.1400016866944875,0.0367388185954986,11.21204359207836,31.286084297214984,1.0849241305683082,-0.23951689765194273
16,0.06,0.5,0.03,0.16,1.25,0.11186035229277103,1.0,-0.008456327489068716,0.14010690934310802,0.03277837598613772,11.382022194581673,31.456062899718297,1.0852018471758182,-0.23951689765194328
17,0.08,0.5,0.03,0.16,1.25,0.11186035229277103,1.0,-0.008456327489068716,0.14010690934310802,0.03277837598613772,11.382022194581673,31.456062899718297,1.0852018471758182,-0.23951689765194328
18,0.1,0.5,0.03,0.16,1.25,0.11186035229277103,1.0,-0.008456327489068716,0.14010690934310802,0.03277837598613772,11.382022194581673,31.456062899718297,1.0852018471758182,-0.23951689765194328
19,0.06,0.46,0.03,0.16,1.2,0.10861038148621271,1.0,-0.00822897559679825,0.1292473273211742,0.03690515648298907,10.04709298918214,30.121133694318765,1.0861724299670419,-0.23689804216739396
20,0.08,0.46,0.03,0.16,1.2,0.10861038148621271,1.0,-0.00822897559679825,0.1292473273211742,0.03690515648298907,10.04709298918214,30.121133694318765,1.0861724299670419,-0.23689804216739396
21,0.1,0.46,0.03,0.16,1.2,0.10861038148621271,1.0,-0.00822897559679825,0.1292473273211742,0.03690515648298907,10.04709298918214,30.121133694318765,1.0861724299670419,-0.23689804216739396
22,0.06,0.48,0.03,0.16,1.2,0.10782572377205057,1.0,-0.008228975596798194,0.1294788497653583,0.03191465198451036,10.211041928052222,30.285082633188846,1.0864911109133868,-0.23689804216739263
23,0.08,0.48,0.03,0.16,1.2,0.10782572377205057,1.0,-0.008228975596798194,0.1294788497653583,0.03191465198451036,10.211041928052222,30.285082633188846,1.0864911109133868,-0.23689804216739263
24,0.1,0.48,0.03,0.16,1.2,0.10782572377205057,1.0,-0.008228975596798194,0.1294788497653583,0.03191465198451036,10.211041928052222,30.285082633188846,1.0864911109133868,-0.23689804216739263
25,0.06,0.5,0.03,0.16,1.2,0.10643563696892655,1.0,-0.008228975596798027,0.12957205130461552,0.026745229125164027,10.375116770566237,30.44915747570286,1.0867466992950394,-0.2368980421673924
26,0.08,0.5,0.03,0.16,1.2,0.10643563696892655,1.0,-0.008228975596798027,0.12957205130461552,0.026745229125164027,10.375116770566237,30.44915747570286,1.0867466992950394,-0.2368980421673924
27,0.1,0.5,0.03,0.16,1.2,0.10643563696892655,1.0,-0.008228975596798027,0.12957205130461552,0.026745229125164027,10.375116770566237,30.44915747570286,1.0867466992950394,-0.2368980421673924
28,0.06,0.46,0.03,0.14,1.3,0.05455916983488962,1.0,-0.0071926241297157745,0.09303523757261127,0.002161219548439434,6.716141066193977,26.7901817713306,1.0745142257275377,-0.22422065045708228
29,0.08,0.46,0.03,0.14,1.3,0.05455916983488962,1.0,-0.0071926241297157745,0.09303523757261127,0.002161219548439434,6.716141066193977,26.7901817713306,1.0745142257275377,-0.22422065045708228
30,0.1,0.46,0.03,0.14,1.3,0.05455916983488962,1.0,-0.0071926241297157745,0.09303523757261127,0.002161219548439434,6.716141066193977,26.7901817713306,1.0745142257275377,-0.22422065045708228
31,0.06,0.48,0.03,0.14,1.3,0.054389905414601314,1.0,-0.007192624129716441,0.09374369603707287,-0.0027990359811985352,6.861978173479361,26.936018878615986,1.0748242037348628,-0.2242206504570825
32,0.08,0.48,0.03,0.14,1.3,0.054389905414601314,1.0,-0.007192624129716441,0.09374369603707287,-0.0027990359811985352,6.861978173479361,26.936018878615986,1.0748242037348628,-0.2242206504570825
33,0.1,0.48,0.03,0.14,1.3,0.054389905414601314,1.0,-0.007192624129716441,0.09374369603707287,-0.0027990359811985352,6.861978173479361,26.936018878615986,1.0748242037348628,-0.2242206504570825
34,0.06,0.5,0.03,0.14,1.3,0.05421742124878304,1.0,-0.0071926241297162186,0.09409640850353244,-0.00793201206982049,7.008333150872687,27.082373856009312,1.075073467238871,-0.2242206504570815
35,0.08,0.5,0.03,0.14,1.3,0.05421742124878304,1.0,-0.0071926241297162186,0.09409640850353244,-0.00793201206982049,7.008333150872687,27.082373856009312,1.075073467238871,-0.2242206504570815
36,0.1,0.5,0.03,0.14,1.3,0.05421742124878304,1.0,-0.0071926241297162186,0.09409640850353244,-0.00793201206982049,7.008333150872687,27.082373856009312,1.075073467238871,-0.2242206504570815
37,0.06,0.46,0.03,0.14,1.25,0.04924656058507182,1.0,-0.0074573327804842715,0.08526304622219182,-0.005925096646014612,5.931684962718435,26.00572566785506,1.0754632863973725,-0.22169464928102245
