rank_wealth_viable,label,rerisk,hold,cap,derisk,terminal_wealth,max_drawdown,avg_daily_ret,vol_daily_ret,wealth_viable,error,is_valid
1,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.2,0.05,0.05,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
2,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.2,0.05,0.1,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
3,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.2,0.05,0.15,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
4,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.3,0.05,0.05,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
5,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.3,0.05,0.1,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
6,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.3,0.05,0.15,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
7,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.4,0.05,0.05,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
8,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.4,0.05,0.1,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
9,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.4,0.05,0.15,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
10,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.5,0.05,0.05,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
11,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.5,0.05,0.1,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
12,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol11817_vf000_fineeqnr,0.5,0.05,0.15,0.0,1.023764643809064,-0.0121366186523045,1.6782652643709749e-06,0.0001467804541415,True,,True
13,run1_tight_weak_v232_pr106_ph000_pc021_dd072_cr033_cd062_de05_rvx080_rvv077_hvx058_cvx038_hvv070_cvv043_pcv020_rvto105_nhvto001_cvto015_dvto000_ndvx007_dvv000_ndvol1181_vf000_fineovr2,0.2,0.05,0.05,0.0,1.0237645286047294,-0.0121366491451595,1.6783764242311328e-06,0.0001467855874499,True,,True
